economic_activity,monthly_revenue,number_of_employees,location,age,innovation,cluster
Commerce,713109.95,12,Rio de Janeiro,6,1,0
Commerce,790714.38,9,São Paulo,15,0,0
Commerce,1197239.33,17,São Paulo,4,9,1
Industry,449185.78,15,São Paulo,6,0,0
Agribusiness,1006373.16,15,São Paulo,15,8,1
Services,1629562.41,16,Rio de Janeiro,11,4,2
Services,771179.95,13,Vitória,0,1,0
Services,707837.61,16,São Paulo,10,6,1
Commerce,888983.66,17,Belo Horizonte,10,1,0
Industry,1098512.64,13,Rio de Janeiro,9,3,2
Commerce,695548.78,11,Rio de Janeiro,10,4,2
Agribusiness,556632.55,14,Rio de Janeiro,9,4,2
Services,800123.32,15,Rio de Janeiro,11,6,1
Services,1544423.2,15,Vitória,9,3,2
Commerce,1058543.63,12,Belo Horizonte,8,8,1
Commerce,783081.11,10,Belo Horizonte,8,7,1
Services,566156.05,15,Vitória,8,8,1
Agribusiness,1047680.24,14,Rio de Janeiro,12,0,0
Industry,836793.37,12,Rio de Janeiro,10,7,1
Agribusiness,1072955.49,14,São Paulo,12,5,2
Commerce,1125089.99,16,Rio de Janeiro,6,2,0
Services,1424196.41,17,Vitória,16,2,0
Services,1376884.23,17,Rio de Janeiro,9,4,2
Commerce,1240936.73,19,São Paulo,13,5,2
Industry,947515.95,18,Vitória,15,2,0
Commerce,1237763.98,18,São Paulo,7,1,0
Commerce,1181642.63,10,São Paulo,7,7,1
Commerce,782097.18,11,Vitória,9,6,1
Agribusiness,111926.48,13,Rio de Janeiro,4,2,0
Industry,489936.94,13,Belo Horizonte,12,1,0
Industry,1164187.89,13,São Paulo,3,2,0
Industry,1418374.5,16,Vitória,7,9,1
Services,1325421.71,14,Vitória,12,5,2
Services,445704.4,13,Belo Horizonte,7,6,1
Agribusiness,958656.71,4,Vitória,5,5,2
Services,1207754.02,12,Rio de Janeiro,12,3,2
Agribusiness,1258551.12,15,Vitória,12,5,2
Services,1051870.82,16,São Paulo,9,6,1
Agribusiness,1116791.99,17,Belo Horizonte,11,8,1
Industry,944040.44,10,Belo Horizonte,7,7,1
Commerce,878314.15,9,Rio de Janeiro,6,6,1
Services,645734.68,15,São Paulo,9,3,2
Services,1197770.02,17,São Paulo,7,3,2
Commerce,619332.74,17,Rio de Janeiro,6,4,2
Commerce,973809.28,17,Rio de Janeiro,14,1,0
Industry,1055849.89,16,Belo Horizonte,13,9,1
Commerce,743078.06,12,São Paulo,12,3,2
Industry,853682.38,11,São Paulo,8,0,0
Agribusiness,1188462.86,17,Rio de Janeiro,9,8,1
Agribusiness,1922245.53,10,Rio de Janeiro,9,7,1
Commerce,854257.82,13,Vitória,13,6,1
Services,296714.92,8,Rio de Janeiro,8,1,0
Industry,1398126.07,12,São Paulo,12,2,0
Agribusiness,1366079.54,15,Vitória,12,3,2
Services,615848.03,15,São Paulo,3,0,0
Commerce,95680.54,12,Rio de Janeiro,12,0,0
Commerce,588181.56,16,Vitória,8,2,0
Agribusiness,2263343.91,12,Belo Horizonte,9,1,0
Services,992946.81,16,Vitória,10,5,2
Agribusiness,990270.34,16,Vitória,7,9,1
Industry,899158.38,10,Rio de Janeiro,7,9,1
Industry,969864.84,17,Vitória,10,4,2
Services,866778.96,15,Rio de Janeiro,6,1,0
Industry,1523849.47,16,Vitória,10,7,1
Commerce,842146.63,12,Vitória,8,8,1
Services,431140.66,10,São Paulo,9,3,2
Commerce,1102025.65,6,Rio de Janeiro,10,5,2
Industry,837639.72,14,Vitória,2,2,0
Industry,1539172.91,12,Belo Horizonte,10,0,0
Agribusiness,662659.12,15,Belo Horizonte,14,1,0
Industry,873208.52,13,São Paulo,6,5,2
Commerce,1191112.82,15,Vitória,13,1,0
